status,price,bed,bath,acre_lot,state,zip_code,house_size,sold_date,time_interval
for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06,0.0
for_sale,300000.0,3.0,2.0,0.29,New Jersey,8096.0,1624.0,2020-01-06,0.0
for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06,0.0
for_sale,4800000.0,5.0,3.0,7.3,New York,10950.0,3240.0,2020-01-06,0.0
for_sale,978800.0,6.0,5.0,0.09,New York,10304.0,2706.0,2020-01-06,0.0
for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06,0.0
for_sale,559500.0,5.0,3.0,0.03,Pennsylvania,19122.0,2126.0,2020-01-06,0.0
for_sale,235000.0,2.0,1.0,0.14,New York,12553.0,920.0,2020-01-06,0.0
for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06,0.0
for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06,0.0
for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06,0.0
for_sale,359000.0,3.0,2.0,3.0,Pennsylvania,18302.0,1066.0,2020-01-06,0.0
for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06,0.0
for_sale,200000.0,2.0,2.0,0.03,Pennsylvania,19124.0,1280.0,2020-01-06,0.0
for_sale,1199000.0,5.0,3.0,1.45,New York,10977.0,2063.0,2020-01-06,0.0
for_sale,449900.0,4.0,4.0,0.11,Delaware,19709.0,2275.0,2020-01-06,0.0
for_sale,559500.0,5.0,3.0,0.03,Pennsylvania,19122.0,2126.0,2020-01-06,0.0
for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06,0.0
for_sale,2800000.0,4.0,6.0,2.11,Connecticut,6897.0,6340.0,2020-01-06,0.0
for_sale,200000.0,2.0,2.0,0.03,Pennsylvania,19124.0,1280.0,2020-01-06,0.0
for_sale,1199000.0,5.0,3.0,1.45,New York,10977.0,2063.0,2020-01-06,0.0
for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06,0.0
for_sale,95000.0,2.0,1.0,0.03,New Jersey,8611.0,744.0,2020-01-06,0.0
for_sale,975000.0,5.0,4.0,0.11,Rhode Island,2906.0,4864.0,2020-01-06,0.0
for_sale,359000.0,3.0,2.0,3.0,Pennsylvania,18302.0,1066.0,2020-01-06,0.0
for_sale,300000.0,3.0,2.0,0.29,New Jersey,8096.0,1624.0,2020-01-06,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,575000.0,4.0,3.0,1.7,Delaware,19707.0,2700.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,389900.0,4.0,3.0,0.02,Pennsylvania,19133.0,2300.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,449900.0,4.0,2.0,0.06,Pennsylvania,19142.0,1500.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,389900.0,4.0,3.0,0.02,Pennsylvania,19133.0,2300.0,2020-01-07,0.0
for_sale,335000.0,3.0,1.0,0.11,New Jersey,8884.0,1164.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,190000.0,3.0,2.0,0.73,Connecticut,6360.0,1158.0,2020-01-07,0.0
for_sale,238500.0,3.0,2.0,1.0,New York,12972.0,2485.0,2020-01-08,0.0
for_sale,399800.0,4.0,3.0,0.15,New Jersey,8109.0,2450.0,2020-01-08,0.0
